Timing of contains() on SortedSet,size (N),time (ns)
trial-1,1024,80.8589
trial-1,2048,21.5731
trial-1,4096,29.6971
trial-1,8192,25.0691
trial-1,16384,34.1443
trial-1,32768,45.8667
trial-1,65536,58.0841
trial-1,131072,74.1854
trial-1,262144,109.317
trial-1,524288,119.2049
trial-2,1024,86.0845
trial-2,2048,20.9039
trial-2,4096,32.6604
trial-2,8192,40.1474
trial-2,16384,34.6391
trial-2,32768,48.5508
trial-2,65536,66.2757
trial-2,131072,85.9801
trial-2,262144,110.1306
trial-2,524288,139.5427
trial-2,1048576,154.8305
